lat,long,reported_owner,solar_prod_mw
30.24813585,-81.8714703,Cecil Distribution Center Llc,1010.22 (mwh)
25.8801803,-80.2265837,Cp Logistics Westview Llc,803.28 (mwh)
27.9965012,-82.0598449,Uscif Cnty Line Indl Portfoli,816.34 (mwh)
28.38406965,-81.31641991,Ta Fulfillment Center Orl Llc,880.3 (mwh)
28.0734451,-81.8312213,Medline Industries Inc,831.6 (mwh)
25.884233,-80.3679889,Liberty Property Ltd Partnership,812.32 (mwh)
30.2461502,-81.8864068,Gpt Bts 103rd St Owner Llc,1016.06 (mwh)
28.42325,-81.39912,Crews Commerce Venture Llc,794.2 (mwh)
30.4653236,-81.6802939,Jdm Amzn Jax Llc,856.6 (mwh)
29.96032,-81.34576,Northrop Grumman Systems Corp,805.16 (mwh)
28.02003115,-82.05383755,New Amazon Llc 33%,1016.08 (mwh)
27.7282687,-82.388158,Ilpt Ruskin Properties Llc,1316.48 (mwh)
27.48815441,-82.55419846,Tropicana Manufacturing Company Inc,2186.58 (mwh)
28.07047,-81.61994,Aldi Florida Llc,808.1 (mwh)
28.4140543,-81.3731025,Icon Dp Wh Orlando Owner Pool 5 Ga/F,762.06 (mwh)
30.45771958,-81.55885244,Es 11530 New Berlin Llc,871.96 (mwh)
30.3659011,-81.8448892,12200 Presidents Industrial Llc,772.36 (mwh)
30.42784,-81.63819,Gc Net Lease Jacksonville Investors Llc,819.96 (mwh)
30.236536,-81.889673,Bridgestone Americas Tire Operations Llc,1036.16 (mwh)
30.43571968,-81.57207803,Jax2983 Llc,813.4 (mwh)
30.749331,-85.267822,Family Dollar Services Inc,908.5 (mwh)
29.760258,-82.42331,Wal-Mart Stores East,1213.16 (mwh)
30.491458,-81.683105,Jacksonville Aviation Authority,2689.3 (mwh)
28.05491219,-81.7885,Coca Cola Company,942.64 (mwh)
27.4118942,-80.3827964,Wal-Mart Stores East,1124.2 (mwh)
28.23052788,-81.46504974,Lowes Home Centers Inc,1360.88 (mwh)
26.204608,-80.291096,Advance Business Assoc,790.52 (mwh)
27.298608,-82.277413,6100 Mcintosh,924.82 (mwh)
30.177033,-82.685484,Wal-Mart Stores East Inc,871.4 (mwh)
30.2998702,-81.9433907,Arc Wdjkvfl001 Llc,1214.58 (mwh)
29.648729,-81.63743,Continental Palatka Llc,773.14 (mwh)
26.7806,-80.139735,Solid Waste Authority Of,770.16 (mwh)
28.39418665,-81.53196821,Walt Disney Parks & Resorts U S In,1121.38 (mwh)
25.87961885,-80.26228686,Rreef Cpif Centergate At,970.8 (mwh)
30.3791187,-81.7862256,4601-300 Bulls Bay Highway Llc,1153.96 (mwh)
30.3776676,-81.7797526,United Parcel Service Inc,953.08 (mwh)
30.2386405,-81.54675,Johnson & Johnson Vision Products Inc,977.34 (mwh)
28.00116158,-82.10972595,Plant City 2009 Llc,1179.02 (mwh)
30.605583,-87.3435445,Brp Llc,1632 (mwh)
25.8840154,-80.2541124,Centerpoint Properties,968.5 (mwh)
27.99323077,-82.10490576,Cs Nla Ii Llc,837 (mwh)
29.18119574,-82.20616766,Tl/Ip Ocala Industrial Owners,2049.76 (mwh)
26.30532037,-80.1230141,Publix Super Markets Inc,1198.24 (mwh)
29.947299,-81.67936,Green Cove Springs Distribution Center,793.6 (mwh)
28.038757,-82.00533,Publix Super Markets Inc,1032.98 (mwh)
28.4265733,-81.5795891,Reedy Crk Imp District,882.12 (mwh)
25.79542708,-80.36896824,Foundry Svf 25th Doral Llc,755.16 (mwh)
26.944647,-80.353926,United Aircraft Corp,1009.54 (mwh)
27.891122,-82.720673,Honeywell International Inc,799.02 (mwh)
28.58161019,-81.443066,,1146.84 (mwh)
26.214653,-80.138694,Centerpoint Properties,760.9 (mwh)
30.42005,-81.648155,Rcs Imeson Llc,1651.68 (mwh)
28.04193229,-81.98674361,Publix Super Markets Inc,858.6 (mwh)
29.176784,-82.138914,Marion County Hospital District,771.1 (mwh)
30.38221749,-81.63781627,United States Gypsum Company,756.58 (mwh)
27.894009,-81.599721,Citrus World Inc,1199.36 (mwh)
25.9417832,-80.1993822,Publix Super Markets Inc,766.78 (mwh)
30.589219,-87.262071,Ascend Performance Materials Llc,1834.38 (mwh)
29.709614,-81.72851,Georgia-Pacific Consumer Oper Llc,2400.76 (mwh)