address,values,last_sale,sales_price,last_mortgage,mortgage_amount,building_area,lender,units,property_type,reported_owner
"13483 103rd St, Jacksonville, FL 32210","30.24832,-81.765310",21-Jul-20,"$75,482,301 ",21-Jul-20,"$200,730,000 ","1,010,220 SF",Prudential Ins Co/America,--,Industrial | Warehouse,Cecil Distribution Center Llc
"2400 Nw 116th St, Miami, FL 33167","25.88139,-80.200620",--,--,--,--,"803,285 SF",--,--,Industrial | Warehouse,Cp Logistics Westview Llc
"4001 Rice Rd, Plant City, FL 33566","27.99595,-82.063410",14-Nov-20,"$631,004 ",23-Nov-16,"$11,500,000 ","816,344 SF",Northwestern Mutual Life Ins,--,Industrial | Warehouse,Uscif Cnty Line Indl Portfoli
"12340 Boggy Creek Rd, Orlando, FL 32824","28.384270,-81.316254",21-Sep-18,"$108,000,000 ",31-Jul-20,"$52,000,000 ","880,296 SF",Principal Life Ins Co,--,Industrial | Warehouse,Ta Fulfillment Center Orl Llc
"1062 Old Dixie Hwy, Auburndale, FL 33823",,18-Jul-16,"$8,500,000 ",1-Nov-21,"$2,230,000,000 ","831,600 SF",Na,1,Industrial | General Industrial,Medline Industries Inc
"11440 Nw 122nd St, Medley, FL 33178",,--,--,--,--,"812,314 SF",--,--,Industrial | Warehouse,Liberty Property Ltd Partnership
"13333 103rd St, Jacksonville, FL 32210",,28-Feb-18,--,--,--,"1,016,058 SF",--,1,Industrial | Warehouse,Gpt Bts 103rd St Owner Llc
"1010 Crews Commerce Dr, Orlando, FL 32837",,18-Dec-15,"$11,101,100 ",29-Jul-19,"$43,164,000 ","794,210 SF",Regions Bk,--,Industrial | Warehouse,Crews Commerce Venture Llc
"12900 Pecan Park Rd, Jacksonville, FL 32218",,5-Aug-20,"$10,780,000 ",5-Aug-20,"$139,100,000 ","856,605 SF",Goldman Sachs Bank Usa,1,Industrial | General Industrial,Jdm Amzn Jax Llc
"5000 Us Highway 1 N, Saint Augustine, FL 32095",,--,--,--,--,"805,157 SF",--,2,Industrial | Heavy Industrial,Northrop Grumman Systems Corp
"1760 County Line Rd, Lakeland, FL 33811",,1-Dec-16,"$87,657,600 ",1-Jul-17,"$33,360,000 ","1,016,080 SF",Wells Fargo,1,Industrial | General Industrial,New Amazon Llc 33%
"3350 Laurel Ridge Ave, Ruskin, FL 33570",,24-Apr-19,"$123,600,000 ",16-Dec-20,--,"1,316,480 SF",American General Life Ins,1,Industrial | Warehouse,Ilpt Ruskin Properties Llc
"1001 13th Ave E, Bradenton, FL 34208",,--,--,--,--,"2,186,585 SF",--,1,Industrial | Heavy Industrial,Tropicana Manufacturing Company Inc
"2651 Scenic Hwy S, Haines City, FL 33844",,13-Mar-08,--,--,--,"808,097 SF",--,8,Industrial | Storage,Aldi Florida Llc
"13201 S Orange Ave, Orlando, FL 32824",,3-Jul-12,"$31,300,000 ",30-Sep-19,"$1,550,000 ","762,065 SF",Deutsche Bank National Trust Co,--,Industrial | Warehouse,Icon Dp Wh Orlando Owner Pool 5 Ga/F
"11530 New Berlin Rd, Jacksonville, FL 32226",,16-Nov-20,"$55,341,300 ",16-Nov-20,"$36,873,410 ","871,952 SF",Metlife R/E Lndg Llc,2,Industrial | Warehouse,Es 11530 New Berlin Llc
"12200 Presidents Ct, Jacksonville, FL 32220",,13-Mar-19,"$46,900,000 ",15-May-19,"$50,000,000 ","772,354 SF",The Lincoln National Life Insurance Co,2,Industrial | Warehouse,12200 Presidents Industrial Llc
"10480 Yeager Rd, Jacksonville, FL 32218",,14-Dec-15,"$48,000,000 ",--,--,"819,960 SF",--,--,Industrial | Warehouse,Gc Net Lease Jacksonville Investors Llc
"4950 Pow Mia Memorial Pkwy, Jacksonville, FL 32221",,21-Sep-15,"$45,772,598 ",--,--,"1,036,155 SF",--,1,Industrial | Warehouse,Bridgestone Americas Tire Operations Llc
"2969 Faye Rd, Jacksonville, FL 32226",,12-Nov-20,--,--,--,"813,398 SF",--,2,Industrial | Warehouse,Jax2983 Llc
"3949 Family Dollar Pkwy, Marianna, FL 32448",,13-Jul-17,"$120,000 ",13-Jul-15,"$29,600,000 ","908,496 SF",Jp Morgan Chase Bk Na,--,Industrial | Warehouse,Family Dollar Services Inc
"18223 Nw 115th Ave, Alachua, FL 32615",,20-Jan-05,"$5,393,500 ",--,--,"1,213,170 SF",--,100,Industrial | Warehouse,Wal-Mart Stores East
"2400 Yankee Clipper Dr, Jacksonville, FL 32218",,--,--,--,--,"2,689,300 SF",--,1,Industrial | Transportation,Jacksonville Aviation Authority
"705 Main St, Auburndale, FL 33823",,10-Aug-15,--,--,--,"942,646 SF",--,14,Industrial | General Industrial,Coca Cola Company
"4001 S Jenkins Rd, Fort Pierce, FL 34981",,5-Jun-03,"$5,595,400 ",--,--,"1,124,204 SF",--,4,Industrial | Warehouse,Wal-Mart Stores East
"2651 Ham Brown Rd, Kissimmee, FL 34746",,3-Feb-03,"$3,200,000 ",--,--,"1,360,879 SF",--,--,Industrial | Warehouse,Lowes Home Centers Inc
"6701 N Hiatus Rd, Tamarac, FL 33321",,17-Sep-99,"$4,125,000 ",1-Mar-18,"$44,852,313 ","790,521 SF",Wells Fargo Bk Na,--,Industrial | Warehouse,Advance Business Assoc
"4281 Expressway Ln, Sarasota, FL 34238",,8-Dec-16,"$3,500,000 ",8-Dec-16,"$33,316,262 ","924,815 SF",Deutsche Bk Na #2012-Gcj7 (Ce),--,Industrial | Warehouse,6100 Mcintosh
"2686 Commerce Rd, Macclenny, FL 32063",,--,--,--,--,"871,396 SF",--,--,Industrial | Warehouse,Wal-Mart Stores East Inc
"15500 Beaver St W, Jacksonville, FL 32234",,25-Apr-13,"$99,768,414 ",1-Jan-14,"$620,000,000 ","1,214,572 SF",Cantor Commercial Real Estate Lending,5,Industrial | General Industrial,Arc Wdjkvfl001 Llc
"896 N Highway 17, Palatka, FL 32177",,6-Sep-13,"$397,381,000 ",29-Mar-18,"$39,783,018 ","773,149 SF",Credit Suisse Ag,--,Industrial | Heavy Industrial,Continental Palatka Llc
"6501 N Jog Rd, West Palm Beach, FL 33412",,--,--,--,--,"770,163 SF",--,--,Industrial | Heavy Industrial,Solid Waste Authority Of
"1500 Live Oak Ln, Lake Buena Vista, FL 32830",,26-Nov-08,"$126,800 ",--,--,"1,121,385 SF",--,--,Industrial | Warehouse,Walt Disney Parks & Resorts U S In
"6301 E 10th Ave, Hialeah, FL 33013",,15-Oct-19,$100 ,23-Jun-15,"$46,800 ","970,804 SF",Wells Fargo Bk Na,--,Industrial | Warehouse,Rreef Cpif Centergate At
"4601 Bulls Bay Hwy, Jacksonville, FL 32219",,10-Aug-21,--,--,--,"1,153,954 SF",--,--,Industrial | Warehouse,4601-300 Bulls Bay Highway Llc
"4420 Imeson Rd, Jacksonville, FL 32219",,27-Feb-97,"$100,200 ",--,--,"953,072 SF",--,--,Industrial | Warehouse,United Parcel Service Inc
"7500 Centurion Pkwy, Jacksonville, FL 32256",,6-Jan-98,"$169,900 ",--,--,"977,339 SF",--,80,Industrial | General Industrial,Johnson & Johnson Vision Products Inc
"1402 Gordon Food Service Dr, Plant City, FL 33563",,8-Jan-10,"$31,500,000 ",4-Apr-14,"$128,450,000 ","1,179,026 SF",Wells Fargo Bk Nw Na (Ce),1,Industrial | Warehouse,Plant City 2009 Llc
"375 Muscogee Rd, Cantonment, FL 32533",,9-Nov-10,--,--,--,"1,631,990 SF",--,--,Industrial | Heavy Industrial,Brp Llc
"3300 Nw 123rd St, Miami, FL 33167",,22-Aug-17,"$59,000,000 ",1-Sep-99,"$17,813,033 ","968,497 SF",Starwood,--,Industrial | General Industrial,Centerpoint Properties
"1802 Jim Johnson Rd, Plant City, FL 33566",,12-Oct-20,"$70,000,000 ",22-Dec-20,"$45,500,000 ","837,005 SF",Capital One Na,1,Industrial | Warehouse,Cs Nla Ii Llc
"655 Sw 52nd Ave, Ocala, FL 34474",,19-Jul-21,--,19-Jul-21,"$102,000,000 ","2,049,752 SF",Pcred Lndg Ii Llc,1,Industrial | Warehouse,Tl/Ip Ocala Industrial Owners
"777 Sw 12th Ave, Deerfield Beach, FL 33442",,--,--,--,--,"1,198,250 SF",--,--,Industrial | Warehouse,Publix Super Markets Inc
"4627 J P Hall Blvd, Green Cove Springs, FL 32043",,22-Mar-21,"$4,596,100 ",22-Mar-21,"$94,675 ","793,593 SF",Cit Bank Na,--,Industrial | General Industrial,Green Cove Springs Distribution Center
"3045 New Tampa Hwy, Lakeland, FL 33815",,--,--,--,--,"1,032,972 SF",--,24,Industrial | Storage,Publix Super Markets Inc
"Facilities Way, Bay Lake, FL 32830",,12-May-20,"$1,278,600 ",--,--,"882,130 SF",--,--,Industrial | Heavy Industrial,Reedy Crk Imp District
"2305 Nw 107th Ave, Doral, FL 33172",,19-Dec-17,"$85,500,000 ",24-Apr-06,"$75,000,000 ","755,156 SF",Expeditors Int'L/Washington In,--,Industrial | Warehouse,Foundry Svf 25th Doral Llc
"17900 Bee Line Hwy, Jupiter, FL 33478",,21-Jul-03,--,--,--,"1,009,544 SF",--,--,Industrial | General Industrial,United Aircraft Corp
"13350 Us Highway 19 N, Clearwater, FL 33764",,1-Jul-83,"$33,000 ",--,--,"799,016 SF",--,182,Industrial | Heavy Industrial,Honeywell International Inc
"3015 Coast Line Dr, Orlando, FL 32808",,30-Apr-19,"$208,400 ",12-Oct-20,"$50,000,000 ","1,146,835 SF",Wells Fargo Bank Na,,,
"1141 Sw 12th Ave, Pompano Beach, FL 33069",,23-Oct-18,"$95,000,000 ",11-May-18,"$260,000,000 ","760,904 SF",Royal Bk/Canada,--,Industrial | Warehouse,Centerpoint Properties
"1 Imeson Park Blvd, Jacksonville, FL 32218",,19-Jun-18,"$47,750,000 ",12-Apr-18,"$144,912,000 ","1,651,687 SF",Parlex 2a Ffnco Llc,16,Industrial | General Industrial,Rcs Imeson Llc
"1936 George Jenkins Blvd, Lakeland, FL 33815",,--,--,--,--,"858,601 SF",--,8,Industrial | Warehouse,Publix Super Markets Inc
"200 Sw 12th St, Ocala, FL 34471",,1-Nov-16,$100 ,--,--,"771,109 SF",--,7,Industrial | Waste Disposal,Marion County Hospital District
"6825 Evergreen Ave, Jacksonville, FL 32208",,--,--,--,--,"756,582 SF",--,--,Industrial | Heavy Industrial,United States Gypsum Company
"20205 Hwy 27, Lake Wales, FL 33853",,--,--,--,--,"1,199,365 SF",--,94,Industrial | Food Packing/Packing/Canning Plant,Citrus World Inc
"100 Ne 183rd St, Miami, FL 33179",,--,--,--,--,"766,777 SF",--,--,Industrial | Warehouse,Publix Super Markets Inc
"3000 Old Chemstrand Rd, Cantonment, FL 32533",,31-Jul-07,"$3,067,000 ",6-Aug-12,"$100,468 ","1,834,373 SF",Bank Of America,--,Industrial | Heavy Industrial,Ascend Performance Materials Llc
"215 County Road 216, Palatka, FL 32177",,16-Jan-07,"$54,236,300 ",16-Jan-07,"$1,000,000,000 ","2,400,766 SF",Citicorp N America Inc,--,Industrial | Heavy Industrial,Georgia-Pacific Consumer Oper Llc